GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
email,fulbo.ucp,Entrenador,15,20,0,0,6,6,4,3,4,3
email,fulbo.ucp,IntegranteSeleccion,28,54,0,0,10,19,5,10,5,10
email,fulbo.ucp,SeleccionAFA,56,0,4,0,20,0,12,0,10,0
email,fulbo.ucp,AplicacionAFA,3,0,0,0,1,0,1,0,1,0
email,fulbo.ucp,Masajista,16,7,0,0,7,2,5,1,5,1
email,fulbo.ucp,Jugador,20,41,1,1,7,10,5,5,4,5
email,fulbo.ucp.interfaces,IAplicacacionAFA,3,0,0,0,1,0,1,0,1,0
